Magnitude,Uncertainty,Kmag,Cmag,Comp Star 1,Comp Star 2
1475,,,,-1,-1
1545,,,,-1,-1
1503,,,,-1,-1
1511,,,,-1,-1
1559,,,,-1,-1
1503,,,,-1,-1
1522,,,,-1,-1
1521,,,,-1,-1
1524,,,,-1,-1
1520,,,,-1,-1
1505,,,,-1,-1
1511,,,,-1,-1
1507,,,,-1,-1
1507,,,,-1,-1
1518,,,,-1,-1
1521,,,,-1,-1
1545,,,,-1,-1
1503,,,,-1,-1
1529,,,,-1,-1
1529,,,,-1,-1
1559,,,,-1,-1
1536,,,,-1,-1
1545,,,,-1,-1
1529,,,,-1,-1
1511,,,,-1,-1
1529,,,,-1,-1
1511,,,,-1,-1
1482,,,,-1,-1
1521,,,,-1,-1
1503,,,,-1,-1
1529,,,,-1,-1
1511,,,,-1,-1
1529,,,,-1,-1
1465,,,,-1,-1
1490,,,,-1,-1
1529,,,,-1,-1
1529,,,,-1,-1
1503,,,,-1,-1
1529,,,,-1,-1
1529,,,,-1,-1
1545,,,,-1,-1
1529,,,,-1,-1
1529,,,,-1,-1
1536,,,,-1,-1
1529,,,,-1,-1
1536,,,,-1,-1
1545,,,,-1,-1
1529,,,,-1,-1
1503,,,,-1,-1
1529,,,,-1,-1
1545,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1521,,,,-1,-1
1521,,,,-1,-1
1529,,,,-1,-1
1496,,,,-1,-1
1475,,,,-1,-1
1545,,,,-1,-1
1536,,,,-1,-1
1545,,,,-1,-1
1545,,,,-1,-1
1490,,,,-1,-1
1496,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1521,,,,-1,-1
1496,,,,-1,-1
1496,,,,-1,-1
1490,,,,-1,-1
1496,,,,-1,-1
1536,,,,-1,-1
1511,,,,-1,-1
1565,,,,-1,-1
1536,,,,-1,-1
1553,,,,-1,-1
1518,,,,-1,-1
1508,,,,-1,-1
1527,,,,-1,-1
1511,,,,-1,-1
1536,,,,-1,-1
1529,,,,-1,-1
1529,,,,-1,-1
1482,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1529,,,,-1,-1
1511,,,,-1,-1
1536,,,,-1,-1
1553,,,,-1,-1
1529,,,,-1,-1
1536,,,,-1,-1
1553,,,,-1,-1
1536,,,,-1,-1
1554,,,,-1,-1
1529,,,,-1,-1
1545,,,,-1,-1
1529,,,,-1,-1
1511,,,,-1,-1
1529,,,,-1,-1
61,,,,-1,-1
1503,,,,-1,-1
1511,,,,-1,-1
1490,,,,-1,-1
1530,,,,-1,-1
1559,,,,-1,-1
1565,,,,-1,-1
1545,,,,-1,-1
1529,,,,-1,-1
1465,,,,-1,-1
1533,,,,-1,-1
1511,,,,-1,-1
1534,,,,-1,-1
1500,,,,-1,-1
1527,,,,-1,-1
1544,,,,-1,-1
1529,,,,-1,-1
1558,,,,-1,-1
1548,,,,-1,-1
1513,,,,-1,-1
1510,,,,-1,-1
1536,,,,-1,-1
1563,,,,-1,-1
1511,,,,-1,-1
1521,,,,-1,-1
1496,,,,-1,-1
1529,,,,-1,-1
1503,,,,-1,-1
1536,,,,-1,-1
1529,,,,-1,-1
1536,,,,-1,-1
1541,,,,-1,-1
1536,,,,-1,-1
1557,,,,-1,-1
1553,,,,-1,-1
1511,,,,-1,-1
1490,,,,-1,-1
1496,,,,-1,-1
1536,,,,-1,-1
1565,,,,-1,-1
1553,,,,-1,-1
1536,,,,-1,-1
1555,,,,-1,-1
1482,,,,-1,-1
1545,,,,-1,-1
1529,,,,-1,-1
1503,,,,-1,-1
1559,,,,-1,-1
1527,,,,-1,-1
1536,,,,-1,-1
1496,,,,-1,-1
1511,,,,-1,-1
1511,,,,-1,-1
1465,,,,-1,-1
1535,,,,-1,-1
1542,,,,-1,-1
1536,,,,-1,-1
1553,,,,-1,-1
1517,,,,-1,-1
1522,,,,-1,-1
1509,,,,-1,-1
1524,,,,-1,-1
1519,,,,-1,-1
1526,,,,-1,-1
1529,,,,-1,-1
1545,,,,-1,-1
1510,,,,-1,-1
1527,,,,-1,-1
1558,,,,-1,-1
1528,,,,-1,-1
1521,,,,-1,-1
1541,,,,-1,-1
1572,,,,-1,-1
1545,,,,-1,-1
1553,,,,-1,-1
1511,,,,-1,-1
1503,,,,-1,-1
1531,,,,-1,-1
1529,,,,-1,-1
1503,,,,-1,-1
1565,,,,-1,-1
1521,,,,-1,-1
1529,,,,-1,-1
1536,,,,-1,-1
1503,,,,-1,-1
1545,,,,-1,-1
1535,,,,-1,-1
1553,,,,-1,-1
1521,,,,-1,-1
1511,,,,-1,-1
1503,,,,-1,-1
1536,,,,-1,-1
1565,,,,31,18
1536,,,,-1,-1
1529,,,,-1,-1
1536,,,,-1,-1
1545,,,,-1,-1
1565,,,,-1,-1
1536,,,,-1,-1
1553,,,,-1,-1
1527,,,,-1,-1
1475,,,,-1,-1
1530,,,,-1,-1
1565,,,,-1,-1
1545,,,,-1,-1
1559,,,,-1,-1
1553,,,,-1,-1
1524,,,,-1,-1
1558,,,,-1,-1
1521,,,,-1,-1
1529,,,,-1,-1
1529,,,,-1,-1
1565,,,,-1,-1
1538,,,,-1,-1
1536,,,,-1,-1
1545,,,,-1,-1
1559,,,,-1,-1
1565,,,,-1,-1
1560,,,,-1,-1
1536,,,,-1,-1
1553,,,,-1,-1
1536,,,,-1,-1
1553,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1529,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1565,,,,-1,-1
1576,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1490,,,,-1,-1
1565,,,,-1,-1
1565,,,,-1,-1
1545,,,,-1,-1
1559,,,,-1,-1
1529,,,,-1,-1
1529,,,,-1,-1
1565,,,,-1,-1
1545,,,,-1,-1
1503,,,,-1,-1
1530,,,,-1,-1
1529,,,,-1,-1
1530,,,,-1,-1
1565,,,,-1,-1
1553,,,,-1,-1
1535,,,,-1,-1
1521,,,,-1,-1
1505,,,,-1,-1
1535,,,,-1,-1
1529,,,,-1,-1
1447,,,,-1,-1
1529,,,,-1,-1
1525,,,,-1,-1
1543,,,,-1,-1
1524,,,,-1,-1
1529,,,,-1,-1
1535,,,,-1,-1
1511,,,,-1,-1
1536,,,,-1,-1
1503,,,,-1,-1
1565,,,,-1,-1
1559,,,,-1,-1
1519,,,,-1,-1
1539,,,,-1,-1
1521,,,,-1,-1
1521,,,,-1,-1
1559,,,,-1,-1
1576,,,,-1,-1
1536,,,,-1,-1
1529,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1572,,,,-1,-1
1545,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1563,,,,-1,-1
1511,,,,-1,-1
1545,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1529,,,,-1,-1
1572,,,,-1,-1
1482,,,,-1,-1
1521,,,,-1,-1
1565,,,,-1,-1
1581,,,,-1,-1
1553,,,,-1,-1
1529,,,,-1,-1
1545,,,,-1,-1
1545,,,,-1,-1
1565,,,,-1,-1
1536,,,,-1,-1
1490,,,,-1,-1
1529,,,,-1,-1
1521,,,,-1,-1
1545,,,,-1,-1
1536,,,,-1,-1
1521,,,,-1,-1
1529,,,,-1,-1
1553,,,,-1,-1
1581,,,,-1,-1
1553,,,,-1,-1
1553,,,,-1,-1
1545,,,,-1,-1
1565,,,,-1,-1
1544,,,,-1,-1
1545,,,,-1,-1
1581,,,,-1,-1
1521,,,,-1,-1
1545,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1559,,,,-1,-1
1536,,,,-1,-1
1545,,,,-1,-1
1572,,,,-1,-1
1536,,,,-1,-1
1565,,,,-1,-1
1529,,,,-1,-1
1536,,,,-1,-1
1576,,,,-1,-1
1503,,,,-1,-1
1511,,,,-1,-1
1529,,,,-1,-1
1529,,,,-1,-1
1536,,,,-1,-1
1545,,,,-1,-1
1565,,,,-1,-1
1553,,,,-1,-1
1490,,,,-1,-1
1521,,,,-1,-1
1521,,,,-1,-1
1553,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1565,,,,-1,-1
1529,,,,-1,-1
1559,,,,-1,-1
1536,,,,-1,-1
1572,,,,-1,-1
1538,,,,-1,-1
1541,,,,-1,-1
1572,,,,-1,-1
1517,,,,-1,-1
1532,,,,-1,-1
1559,,,,-1,-1
1452,,,,-1,-1
1556,,,,-1,-1
1544,,,,-1,-1
1543,,,,-1,-1
1553,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1549,,,,-1,-1
1559,,,,-1,-1
1521,,,,-1,-1
1536,,,,-1,-1
1565,,,,-1,-1
1559,,,,-1,-1
1536,,,,-1,-1
1511,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1543,,,,-1,-1
1552,,,,-1,-1
1553,,,,-1,-1
1565,,,,-1,-1
1572,,,,-1,-1
1516,,,,-1,-1
1542,,,,-1,-1
1532,,,,-1,-1
1519,,,,-1,-1
1458,,,,-1,-1
1535,,,,-1,-1
1529,,,,-1,-1
1565,,,,-1,-1
1565,,,,-1,-1
1553,,,,-1,-1
1559,,,,-1,-1
1545,,,,-1,-1
1565,,,,-1,-1
1566,,,,-1,-1
1565,,,,-1,-1
1565,,,,-1,-1
1553,,,,-1,-1
1545,,,,-1,-1
1581,,,,-1,-1
1565,,,,43,-1
1529,,,,-1,-1
1559,,,,-1,-1
1572,,,,-1,-1
1595,,,,-1,-1
1545,,,,-1,-1
1545,,,,-1,-1
1536,,,,-1,-1
1529,,,,-1,-1
1545,,,,-1,-1
1559,,,,-1,-1
1559,,,,-1,-1
1536,,,,-1,-1
1553,,,,-1,-1
1545,,,,-1,-1
1553,,,,-1,-1
1553,,,,-1,-1
1576,,,,-1,-1
1529,,,,-1,-1
1567,,,,-1,-1
1545,,,,-1,-1
1529,,,,-1,-1
1553,,,,-1,-1
1559,,,,-1,-1
1559,,,,-1,-1
1545,,,,-1,-1
1529,,,,-1,-1
1553,,,,-1,-1
1529,,,,-1,-1
1521,,,,-1,-1
1553,,,,-1,-1
1559,,,,-1,-1
1535,,,,-1,-1
1557,,,,-1,-1
1565,,,,-1,-1
1545,,,,-1,-1
1538,,,,-1,-1
1553,,,,-1,-1
1565,,,,-1,-1
1458,,,,-1,-1
1565,,,,-1,-1
1572,,,,-1,-1
1546,,,,-1,-1
1553,,,,-1,-1
1565,,,,-1,-1
1572,,,,-1,-1
1536,,,,-1,-1
1529,,,,-1,-1
1565,,,,-1,-1
1561,,,,-1,-1
1530,,,,-1,-1
1559,,,,42,-1
1529,,,,-1,-1
1545,,,,-1,-1
1545,,,,-1,-1
1584,,,,-1,-1
1545,,,,-1,-1
1553,,,,-1,-1
1565,,,,-1,-1
1553,,,,-1,-1
1553,,,,-1,-1
1553,,,,-1,-1
1576,,,,-1,-1
1536,,,,-1,-1
1576,,,,-1,-1
1529,,,,-1,-1
1536,,,,-1,-1
1581,,,,-1,-1
1565,,,,-1,-1
1553,,,,-1,-1
1589,,,,-1,-1
1536,,,,-1,-1
1545,,,,-1,-1
1559,,,,-1,-1
1565,,,,-1,-1
1559,,,,-1,-1
1536,,,,-1,-1
1572,,,,-1,-1
1553,,,,-1,-1
1521,,,,-1,-1
1559,,,,-1,-1
1572,,,,-1,-1
1536,,,,-1,-1
1576,,,,-1,-1
1458,,,,-1,-1
1545,,,,-1,-1
1584,,,,-1,-1
1559,,,,-1,-1
1530,,,,-1,-1
1543,,,,-1,-1
1529,,,,-1,-1
1565,,,,-1,-1
1557,,,,-1,-1
1564,,,,-1,-1
1561,,,,-1,-1
1572,,,,44,-1
1559,,,,-1,-1
1559,,,,-1,-1
1536,,,,-1,-1
1585,,,,-1,-1
1536,,,,-1,-1
1572,,,,-1,-1
1545,,,,-1,-1
1576,,,,-1,-1
1545,,,,-1,-1
1545,,,,-1,-1
1553,,,,-1,-1
1565,,,,-1,-1
1584,,,,47,-1
1572,,,,-1,-1
1581,,,,-1,-1
1584,,,,-1,-1
1576,,,,-1,-1
1559,,,,-1,-1
1549,,,,-1,-1
1581,,,,-1,-1
1553,,,,-1,-1
1569,,,,-1,-1
1601,,,,-1,-1
1576,,,,-1,-1
1545,,,,-1,-1
1545,,,,-1,-1
1529,,,,-1,-1
1545,,,,-1,-1
1584,,,,-1,-1
1572,,,,-1,-1
1565,,,,-1,-1
1551,,,,-1,-1
1576,,,,-1,-1
1553,,,,-1,-1
1536,,,,-1,-1
1565,,,,-1,-1
1553,,,,-1,-1
1553,,,,-1,-1
1536,,,,-1,-1
1584,,,,-1,-1
1576,,,,-1,-1
1584,,,,-1,-1
1547,,,,-1,-1
1475,,,,-1,-1
1581,,,,-1,-1
1543,,,,-1,-1
1553,,,,-1,-1
1572,,,,-1,-1
1580,,,,-1,-1
1553,,,,-1,-1
1565,,,,-1,-1
1549,,,,-1,-1
1584,,,,-1,-1
1545,,,,-1,-1
1552,,,,-1,-1
1545,,,,-1,-1
1545,,,,-1,-1
1553,,,,-1,-1
1565,,,,43,-1
1572,,,,-1,-1
1553,,,,-1,-1
1565,,,,-1,-1
1549,,,,-1,-1
1550,,,,-1,-1
1571,,,,-1,-1
1553,,,,-1,-1
1576,,,,-1,-1
1576,,,,-1,-1
1584,,,,-1,-1
1581,,,,-1,-1
1584,,,,-1,-1
1536,,,,-1,-1
1589,,,,-1,-1
1572,,,,-1,-1
1557,,,,-1,-1
1536,,,,-1,-1
1535,,,,-1,-1
1576,,,,-1,-1
1576,,,,-1,-1
1545,,,,-1,-1
1577,,,,-1,-1
1565,,,,-1,-1
1526,,,,-1,-1
1547,,,,-1,-1
1562,,,,-1,-1
1553,,,,-1,-1
1581,,,,-1,-1
1553,,,,-1,-1
1572,,,,-1,-1
1584,,,,-1,-1
1536,,,,-1,-1
1572,,,,-1,-1
1529,,,,-1,-1
1545,,,,-1,-1
1610,,,,-1,-1
1584,,,,-1,-1
1553,,,,-1,-1
1553,,,,-1,-1
1553,,,,-1,-1
1565,,,,-1,-1
1545,,,,-1,-1
1581,,,,-1,-1
1581,,,,-1,-1
1544,,,,-1,-1
1584,,,,-1,-1
1572,,,,-1,-1
1559,,,,-1,-1
1584,,,,-1,-1
1545,,,,-1,-1
1572,,,,-1,-1
1576,,,,-1,-1
1559,,,,-1,-1
1559,,,,-1,-1
1553,,,,-1,-1
1511,,,,-1,-1
1559,,,,-1,-1
1584,,,,-1,-1
1511,,,,-1,-1
1576,,,,-1,-1
1536,,,,-1,-1
1553,,,,-1,-1
1589,,,,-1,-1
1536,,,,-1,-1
1553,,,,-1,-1
1581,,,,-1,-1
1584,,,,-1,-1
1581,,,,-1,-1
1565,,,,-1,-1
1572,,,,-1,-1
1565,,,,-1,-1
1545,,,,-1,-1
1545,,,,-1,-1
1548,,,,-1,-1
1565,,,,-1,-1
1577,,,,-1,-1
1535,,,,-1,-1
1553,,,,-1,-1
1584,,,,-1,-1
1559,,,,-1,-1
1595,,,,-1,-1
1559,,,,-1,-1
1584,,,,-1,-1
1572,,,,-1,-1
1553,,,,-1,-1
1572,,,,-1,-1
1570,,,,-1,-1
1576,,,,-1,-1
1529,,,,-1,-1
1571,,,,-1,-1
1557,,,,-1,-1
1574,,,,-1,-1
1584,,,,-1,-1
1576,,,,-1,-1
1475,,,,-1,-1
1584,,,,-1,-1
1572,,,,-1,-1
1561,,,,-1,-1
1576,,,,45,-1
1553,,,,-1,-1
1584,,,,-1,-1
1565,,,,-1,-1
1573,,,,-1,-1
1565,,,,-1,-1
1559,,,,-1,-1
1576,,,,-1,-1
1559,,,,-1,-1
1572,,,,-1,-1
1584,,,,-1,-1
1576,,,,-1,-1
1572,,,,-1,-1
1595,,,,-1,-1
1565,,,,-1,-1
1584,,,,-1,-1
1553,,,,-1,-1
1576,,,,-1,-1
1576,,,,-1,-1
1576,,,,-1,-1
1572,,,,-1,-1
1584,,,,-1,-1
1581,,,,46,-1
1553,,,,-1,-1
1595,,,,-1,-1
1581,,,,-1,-1
1576,,,,-1,-1
1565,,,,-1,-1
1576,,,,-1,-1
1572,,,,-1,-1
1595,,,,-1,-1
1581,,,,-1,-1
1584,,,,-1,-1
1559,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1572,,,,-1,-1
1607,,,,-1,-1
1581,,,,-1,-1
1587,,,,-1,-1
1545,,,,-1,-1
1572,,,,-1,-1
1571,,,,-1,-1
1584,,,,-1,-1
1553,,,,-1,-1
1564,,,,-1,-1
1584,,,,-1,-1
1572,,,,-1,-1
1559,,,,-1,-1
1570,,,,-1,-1
1559,,,,-1,-1
1572,,,,-1,-1
1576,,,,-1,-1
1584,,,,-1,-1
1584,,,,-1,-1
1576,,,,-1,-1
1581,,,,-1,-1
1545,,,,-1,-1
1589,,,,-1,-1
1565,,,,-1,-1
1589,,,,-1,-1
1572,,,,-1,-1
1576,,,,-1,-1
1589,,,,-1,-1
1584,,,,-1,-1
1565,,,,-1,-1
1584,,,,-1,-1
1581,,,,-1,-1
1576,,,,-1,-1
1572,,,,-1,-1
1576,,,,-1,-1
1572,,,,-1,-1
1571,,,,-1,-1
1576,,,,-1,-1
1564,,,,-1,-1
1553,,,,-1,-1
1584,,,,-1,-1
1581,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1572,,,,-1,-1
1572,,,,-1,-1
1581,,,,-1,-1
1584,,,,-1,-1
1595,,,,-1,-1
1601,,,,-1,-1
1601,,,,-1,-1
1581,,,,-1,-1
1594,,,,-1,-1
1588,,,,-1,-1
1587,,,,-1,-1
1576,,,,-1,-1
1581,,,,-1,-1
1589,,,,-1,-1
1595,,,,-1,-1
1571,,,,-1,-1
1577,,,,-1,-1
1576,,,,-1,-1
1581,,,,-1,-1
1576,,,,-1,-1
1587,,,,-1,-1
1577,,,,-1,-1
1572,,,,-1,-1
1576,,,,-1,-1
1572,,,,-1,-1
1584,,,,-1,-1
1581,,,,-1,-1
1536,,,,-1,-1
1536,,,,-1,-1
1581,,,,-1,-1
1587,,,,-1,-1
1559,,,,-1,-1
1587,,,,-1,-1
1572,,,,-1,-1
1587,,,,-1,-1
1589,,,,-1,-1
1553,,,,-1,-1
1578,,,,-1,-1
1584,,,,-1,-1
1576,,,,-1,-1
1588,,,,-1,-1
1583,,,,-1,-1
1581,,,,-1,-1
1581,,,,-1,-1
1595,,,,-1,-1
1589,,,,-1,-1
1536,,,,-1,-1
1607,,,,-1,-1
1582,,,,-1,-1
1576,,,,-1,-1
1581,,,,-1,-1
1589,,,,-1,-1
1576,,,,-1,-1
1581,,,,-1,-1
1595,,,,-1,-1
1584,,,,47,-1
1581,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1601,,,,-1,-1
1601,,,,-1,-1
1559,,,,-1,-1
1616,,,,-1,-1
1581,,,,-1,-1
1591,,,,-1,-1
1589,,,,-1,-1
1581,,,,-1,-1
1567,,,,-1,-1
1581,,,,-1,-1
1589,,,,-1,-1
1576,,,,-1,-1
1595,,,,-1,-1
1584,,,,-1,-1
1601,,,,-1,-1
1595,,,,-1,-1
1584,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1601,,,,-1,-1
1607,,,,-1,-1
1581,,,,-1,-1
1584,,,,-1,-1
1581,,,,-1,-1
1595,,,,-1,-1
1589,,,,-1,-1
1589,,,,-1,-1
1601,,,,-1,-1
1589,,,,-1,-1
1581,,,,-1,-1
1589,,,,-1,-1
1595,,,,-1,-1
1601,,,,-1,-1
1589,,,,-1,-1
1595,,,,-1,-1
1581,,,,-1,-1
1595,,,,-1,-1
1584,,,,-1,-1
1589,,,,-1,-1
1601,,,,-1,-1
1572,,,,-1,-1
1576,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1610,,,,-1,-1
1586,,,,-1,-1
1581,,,,-1,-1
1601,,,,-1,-1
1572,,,,-1,-1
1584,,,,-1,-1
1576,,,,-1,-1
1559,,,,-1,-1
1563,,,,-1,-1
1589,,,,-1,-1
1589,,,,-1,-1
1595,,,,-1,-1
1591,,,,-1,-1
1591,,,,-1,-1
1589,,,,-1,-1
1594,,,,-1,-1
1591,,,,-1,-1
1581,,,,-1,-1
1581,,,,-1,-1
1607,,,,-1,-1
1589,,,,-1,-1
1568,,,,-1,-1
1578,,,,-1,-1
1577,,,,-1,-1
1601,,,,-1,-1
1584,,,,-1,-1
1584,,,,47,-1
1595,,,,-1,-1
1576,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1589,,,,-1,-1
1589,,,,-1,-1
1589,,,,-1,-1
1589,,,,-1,-1
1584,,,,-1,-1
1589,,,,-1,-1
1607,,,,-1,-1
1589,,,,-1,-1
1589,,,,-1,-1
1589,,,,-1,-1
1595,,,,-1,-1
1621,,,,-1,-1
1581,,,,-1,-1
1584,,,,-1,-1
1572,,,,-1,-1
1625,,,,-1,-1
1589,,,,-1,-1
1595,,,,-1,-1
1589,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1581,,,,-1,-1
1595,,,,47,19
1581,,,,-1,-1
1616,,,,-1,-1
1591,,,,-1,-1
1586,,,,-1,-1
1572,,,,-1,-1
1576,,,,-1,-1
1616,,,,-1,-1
1576,,,,-1,-1
1584,,,,-1,-1
1591,,,,-1,-1
1578,,,,-1,-1
1581,,,,-1,-1
1581,,,,-1,-1
1595,,,,-1,-1
1581,,,,-1,-1
1610,,,,-1,-1
1607,,,,-1,-1
1607,,,,-1,-1
1584,,,,-1,-1
1584,,,,-1,-1
1595,,,,-1,-1
1601,,,,-1,-1
1607,,,,-1,-1
1589,,,,-1,-1
1581,,,,-1,-1
1607,,,,-1,-1
1601,,,,-1,-1
1601,,,,-1,-1
1581,,,,-1,-1
1581,,,,-1,-1
1584,,,,-1,-1
1616,,,,-1,-1
1595,,,,-1,-1
1584,,,,-1,-1
1589,,,,-1,-1
1589,,,,-1,-1
1576,,,,-1,-1
1588,,,,-1,-1
1601,,,,-1,-1
1581,,,,-1,-1
1576,,,,-1,-1
1595,,,,-1,-1
1601,,,,-1,-1
1584,,,,47,-1
1581,,,,-1,-1
1610,,,,-1,-1
1584,,,,-1,-1
1610,,,,-1,-1
1584,,,,-1,-1
1584,,,,-1,-1
1584,,,,-1,-1
1576,,,,-1,-1
1595,,,,-1,-1
1601,,,,-1,-1
1581,,,,-1,-1
1595,,,,-1,-1
1601,,,,-1,-1
1616,,,,-1,-1
1594,,,,-1,-1
1595,,,,-1,-1
1589,,,,-1,-1
1595,,,,-1,-1
1581,,,,-1,-1
1581,,,,-1,-1
1581,,,,-1,-1
1576,,,,-1,-1
1601,,,,-1,-1
1581,,,,-1,-1
1595,,,,-1,-1
1601,,,,-1,-1
1595,,,,-1,-1
1628,,,,-1,-1
1589,,,,-1,-1
1584,,,,-1,-1
1589,,,,-1,-1
1625,,,,-1,-1
1576,,,,-1,-1
1601,,,,-1,-1
1581,,,,-1,-1
1601,,,,-1,-1
1607,,,,-1,-1
1595,,,,-1,-1
1588,,,,-1,-1
1576,,,,-1,-1
1595,,,,-1,-1
1584,,,,-1,-1
1581,,,,-1,-1
1610,,,,-1,-1
1701,,,,-1,-1
1603,,,,-1,-1
1595,,,,-1,-1
1592,,,,-1,-1
1601,,,,-1,-1
1579,,,,-1,-1
1587,,,,-1,-1
1581,,,,-1,-1
1575,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1589,,,,-1,-1
1584,,,,-1,-1
1565,,,,-1,-1
1601,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1616,,,,-1,-1
1595,,,,-1,-1
1589,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1584,,,,-1,-1
1584,,,,-1,-1
1589,,,,-1,-1
1581,,,,-1,-1
1595,,,,-1,-1
1601,,,,-1,-1
1625,,,,-1,-1
1591,,,,-1,-1
1625,,,,-1,-1
1601,,,,-1,-1
1589,,,,-1,-1
1572,,,,-1,-1
1576,,,,-1,-1
1591,,,,-1,-1
1591,,,,-1,-1
1581,,,,-1,-1
1572,,,,-1,-1
1595,,,,-1,-1
1581,,,,-1,-1
1593,,,,-1,-1
1595,,,,-1,-1
1595,,,,48,-1
1601,,,,-1,-1
1584,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1610,,,,-1,-1
1589,,,,-1,-1
1616,,,,-1,-1
1595,,,,-1,-1
1584,,,,-1,-1
1584,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1559,,,,-1,-1
1607,,,,-1,-1
1589,,,,-1,-1
1589,,,,-1,-1
1595,,,,-1,-1
1589,,,,-1,-1
1589,,,,-1,-1
1576,,,,-1,-1
1625,,,,-1,-1
1581,,,,-1,-1
1597,,,,-1,-1
1621,,,,-1,-1
1589,,,,-1,-1
1584,,,,-1,-1
1595,,,,-1,-1
1601,,,,-1,-1
1589,,,,-1,-1
1616,,,,-1,-1
1584,,,,-1,-1
1595,,,,-1,-1
1601,,,,-1,-1
1581,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1607,,,,-1,-1
1595,,,,-1,-1
1584,,,,-1,-1
1628,,,,-1,-1
1595,,,,-1,-1
1616,,,,-1,-1
1589,,,,-1,-1
1601,,,,-1,-1
1595,,,,-1,-1
1545,,,,-1,-1
1591,,,,-1,-1
1584,,,,-1,-1
1610,,,,-1,-1
1610,,,,-1,-1
1589,,,,-1,-1
1601,,,,-1,-1
1599,,,,-1,-1
1581,,,,-1,-1
1590,,,,-1,-1
1581,,,,-1,-1
1581,,,,-1,-1
1581,,,,-1,-1
1616,,,,-1,-1
1601,,,,-1,-1
1607,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1584,,,,-1,-1
1584,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1621,,,,-1,-1
1601,,,,-1,-1
1616,,,,-1,-1
1595,,,,-1,-1
1610,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1616,,,,-1,-1
1621,,,,-1,-1
1595,,,,-1,-1
1603,,,,-1,-1
1621,,,,-1,-1
1595,,,,-1,-1
1616,,,,-1,-1
1598,,,,-1,-1
1589,,,,-1,-1
1594,,,,-1,-1
1581,,,,-1,-1
1595,,,,-1,-1
1581,,,,-1,-1
1595,,,,-1,-1
1584,,,,-1,-1
1621,,,,-1,-1
1601,,,,-1,-1
1616,,,,-1,-1
1589,,,,-1,-1
1599,,,,-1,-1
1584,,,,-1,-1
1601,,,,-1,-1
1584,,,,-1,-1
1596,,,,-1,-1
1610,,,,-1,-1
1595,,,,48,-1
1589,,,,-1,-1
1616,,,,-1,-1
1625,,,,-1,-1
1601,,,,-1,-1
1584,,,,-1,-1
1595,,,,-1,-1
1581,,,,-1,-1
1610,,,,-1,-1
1610,,,,-1,-1
1589,,,,-1,-1
1578,,,,-1,-1
1589,,,,-1,-1
1589,,,,-1,-1
1595,,,,-1,-1
1589,,,,-1,-1
1584,,,,-1,-1
1601,,,,-1,-1
1584,,,,-1,-1
1610,,,,-1,-1
1632,,,,-1,-1
1616,,,,-1,-1
1603,,,,-1,-1
1589,,,,-1,-1
1616,,,,-1,-1
1603,,,,-1,-1
1601,,,,-1,-1
1593,,,,-1,-1
1584,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
1607,,,,-1,-1
1601,,,,-1,-1
1581,,,,-1,-1
1591,,,,-1,-1
1607,,,,-1,-1
1601,,,,-1,-1
1610,,,,-1,-1
1589,,,,-1,-1
1610,,,,-1,-1
1628,,,,-1,-1
1595,,,,-1,-1
1595,,,,-1,-1
